img 0 , gnumloc 1 , npeaks 2, pixdev 3, intensity 4, dxymicrons 5:7, matstarlab 7:16, strain6_crystal 16:22, euler 22:25, rgb_x_sample, rgb_y_sample, rgb_z_sample, rgb_x_lab, rgb_y_lab, rgb_z_lab, strain6_crystal,  strain6_sample, stress6_crystal, stress6_sample, res_shear_stress_12, max_rss, von_mises
img gnumloc npeaks pixdev intensity dxymicrons_0 dxymicrons_1 matstarlab_0 matstarlab_1 matstarlab_2 matstarlab_3 matstarlab_4 matstarlab_5 matstarlab_6 matstarlab_7 matstarlab_8 strain6_crystal_0 strain6_crystal_1 strain6_crystal_2 strain6_crystal_3 strain6_crystal_4 strain6_crystal_5 euler3_0 euler3_1 euler3_2 rgb_x_sample_0 rgb_x_sample_1 rgb_x_sample_2 rgb_y_sample_0 rgb_y_sample_1 rgb_y_sample_2 rgb_z_sample_0 rgb_z_sample_1 rgb_z_sample_2 rgb_x_lab_0 rgb_x_lab_1 rgb_x_lab_2 rgb_y_lab_0 rgb_y_lab_1 rgb_y_lab_2 rgb_z_lab_0 rgb_z_lab_1 rgb_z_lab_2 strain6_crystal_0 strain6_crystal_1 strain6_crystal_2 strain6_crystal_3 strain6_crystal_4 strain6_crystal_5 strain6_sample_0 strain6_sample_1 strain6_sample_2 strain6_sample_3 strain6_sample_4 strain6_sample_5 stress6_crystal_0 stress6_crystal_1 stress6_crystal_2 stress6_crystal_3 stress6_crystal_4 stress6_crystal_5 stress6_sample_0 stress6_sample_1 stress6_sample_2 stress6_sample_3 stress6_sample_4 stress6_sample_5 res_shear_stress_0 res_shear_stress_1 res_shear_stress_2 res_shear_stress_3 res_shear_stress_4 res_shear_stress_5 res_shear_stress_6 res_shear_stress_7 res_shear_stress_8 res_shear_stress_9 res_shear_stress_10 res_shear_stress_11 max_rss von_mises 
0.000000 0.000000 119.000000 0.480000 37490.716000 0.000000 0.000000 0.194982 -0.833071 0.517662 0.689417 -0.257349 -0.674609 0.697995 0.488037 0.525233 -0.356576 1.336688 -0.980112 -0.643838 -0.709361 0.204679 0.000000 0.000000 0.000000 0.007158 1.000000 0.479072 0.146614 0.871263 1.000000 1.000000 0.645784 0.262035 0.007158 1.000000 0.479072 0.768323 0.723759 1.000000 0.170583 0.012760 1.000000 -0.356172 1.336662 -0.980489 -0.643725 -0.709456 0.204378 -0.611641 0.973946 -0.362305 -0.014158 -0.686844 -1.094530 -0.362227 1.359385 -0.997158 -1.023651 -1.128177 0.325003 -1.055899 1.545344 -0.489446 -0.216136 -0.834491 -1.139573 -0.745518 0.175635 -1.581325 -0.660173 -0.809795 0.026013 -0.544431 0.291376 1.555312 1.289949 0.634160 0.368797 1.581325 3.426222
1.000000 0.000000 100.000000 4.030000 9871.178000 1.000000 0.000000 -0.192746 0.835091 -0.515240 -0.697230 -0.485908 -0.534724 -0.688366 0.258551 0.677211 1.233639 -2.803970 1.570330 3.889406 0.150530 -2.043830 0.000000 0.000000 0.000000 0.002570 1.000000 0.460078 0.144806 0.829833 1.000000 1.000000 0.639348 0.269053 0.002570 1.000000 0.460078 0.800198 0.729974 1.000000 0.169244 0.016277 1.000000 1.233367 -2.803012 1.569644 3.888704 0.150554 -2.043185 2.659748 -3.183833 0.524085 -2.756481 -2.336517 -1.854687 1.254335 -2.850663 1.596328 6.183817 0.239412 -3.249073 4.564127 -4.687093 0.122965 -4.272173 -3.516278 -1.718737 -0.750935 -0.946414 4.298130 4.102652 3.990580 -1.058486 1.337722 -3.711343 -3.239645 -0.586787 -3.044166 -0.391309 4.298130 12.842586
2.000000 0.000000 111.000000 1.060000 19433.017000 2.000000 0.000000 -0.195123 0.833432 -0.517028 -0.697381 -0.488368 -0.525544 -0.689974 0.256684 0.675450 -0.129660 -0.649965 0.779626 -0.420206 0.334997 -0.387251 0.000000 0.000000 0.000000 0.007348 1.000000 0.481878 0.148904 0.865933 1.000000 1.000000 0.645766 0.263733 0.007348 1.000000 0.481878 0.772261 0.729449 1.000000 0.169579 0.014232 1.000000 -0.129669 -0.649545 0.779215 -0.420451 0.334987 -0.387137 -0.367721 0.646303 -0.278582 -0.108213 -0.241553 -0.759273 -0.131874 -0.660588 0.792461 -0.668602 0.532696 -0.615626 -0.614357 1.045501 -0.431144 -0.269242 -0.238748 -0.832455 0.706274 0.271330 0.160363 -0.274581 0.355731 0.901642 -0.146925 0.398985 -1.062005 -0.559349 -0.627061 -0.124404 1.062005 2.225310
3.000000 0.000000 107.000000 1.860000 11837.499000 3.000000 0.000000 -0.193199 0.834238 -0.516451 -0.697541 -0.487417 -0.529649 -0.689833 0.257072 0.676276 0.660142 -1.665092 1.004949 1.149963 0.763244 -0.834589 0.000000 0.000000 0.000000 0.004751 1.000000 0.473800 0.146894 0.849245 1.000000 1.000000 0.638608 0.267799 0.004751 1.000000 0.473800 0.783876 0.724959 1.000000 0.168276 0.016256 1.000000 0.659825 -1.665123 1.005297 1.149806 0.763178 -0.834446 0.778701 -0.744279 -0.034422 -1.323197 -0.561205 -1.436506 0.671042 -1.693430 1.022387 1.828422 1.213606 -1.326936 1.414140 -0.967657 -0.446483 -2.061736 -0.759236 -1.537342 0.714294 -0.276611 2.207195 1.216289 1.431605 -0.061295 0.348167 -1.144734 -2.145900 -1.062461 -1.154994 -0.071556 2.207195 5.125924
4.000000 0.000000 109.000000 1.380000 12912.749000 4.000000 0.000000 -0.193417 0.833968 -0.516805 -0.697079 -0.487294 -0.528546 -0.690424 0.256861 0.675362 0.252029 -1.114470 0.862441 0.423266 0.638602 -0.794666 0.000000 0.000000 0.000000 0.004746 1.000000 0.474251 0.148918 0.854184 1.000000 1.000000 0.638349 0.267699 0.004746 1.000000 0.474251 0.779261 0.725971 1.000000 0.167420 0.016819 1.000000 0.252117 -1.114445 0.862328 0.423257 0.638541 -0.794557 0.244011 0.020936 -0.264947 -0.893613 -0.474927 -1.074055 0.256403 -1.133391 0.876987 0.673064 1.015408 -1.263504 0.456804 0.145961 -0.602765 -1.447996 -0.620266 -1.167112 0.707142 -0.121935 1.256697 0.427620 1.043953 0.494399 0.012306 -0.537248 -1.751096 -0.719449 -0.922018 0.109629 1.751096 3.524297
5.000000 0.000000 110.000000 1.000000 11575.209000 5.000000 0.000000 -0.193545 0.833735 -0.517133 -0.696683 -0.486916 -0.528274 -0.691049 0.256657 0.674425 -0.032732 -0.798291 0.831023 -0.095516 0.518391 -1.032944 0.000000 0.000000 0.000000 0.003931 1.000000 0.472801 0.150830 0.855876 1.000000 1.000000 0.637711 0.267786 0.003931 1.000000 0.472801 0.776477 0.727358 1.000000 0.166510 0.017724 1.000000 -0.032571 -0.798127 0.830698 -0.095341 0.518304 -1.032780 -0.221235 0.663438 -0.442204 -0.733094 -0.630809 -0.854844 -0.033125 -0.811695 0.844820 -0.151611 0.824206 -1.642327 -0.357269 1.099402 -0.742133 -1.246951 -0.854647 -0.926024 0.716226 0.043264 0.592436 -0.080526 0.967001 1.090791 -0.373953 -0.250163 -1.683227 -0.342273 -1.010266 0.330689 1.683227 3.501302
6.000000 0.000000 103.000000 1.140000 8702.500000 6.000000 0.000000 -0.193443 0.833757 -0.517135 -0.696584 -0.487296 -0.528585 -0.691103 0.256805 0.674437 0.088210 -0.956605 0.868395 0.113191 0.486964 -0.904521 0.000000 0.000000 0.000000 0.003410 1.000000 0.472711 0.151025 0.856197 1.000000 1.000000 0.637116 0.267807 0.003410 1.000000 0.472711 0.777143 0.727576 1.000000 0.166279 0.017222 1.000000 0.088403 -0.956661 0.868258 0.113078 0.487044 -0.904327 -0.048779 0.353342 -0.304563 -0.737725 -0.598439 -0.945456 0.089906 -0.972925 0.883018 0.179817 0.774497 -1.438060 -0.051887 0.637199 -0.585312 -1.233292 -0.804698 -1.011528 0.676676 0.044302 0.823496 0.191122 0.984282 0.837463 -0.189889 -0.336709 -1.660958 -0.486787 -1.028584 0.145587 1.660958 3.271417
7.000000 0.000000 94.000000 1.090000 6516.142000 7.000000 0.000000 -0.193483 0.833450 -0.517615 -0.696801 -0.487142 -0.529175 -0.691120 0.256751 0.674469 0.225533 -1.208860 0.983327 0.206673 0.703713 -1.355786 0.000000 0.000000 0.000000 0.002602 1.000000 0.471538 0.150684 0.854046 1.000000 1.000000 0.636900 0.266386 0.002602 1.000000 0.471538 0.776679 0.726895 1.000000 0.166477 0.017039 1.000000 0.225404 -1.208749 0.983346 0.206629 0.703602 -1.355608 -0.083959 0.483743 -0.399783 -1.187083 -0.811129 -1.160738 0.229236 -1.229298 1.000062 0.328582 1.118867 -2.155688 -0.072224 0.884010 -0.811786 -1.930294 -1.131489 -1.248839 0.918077 0.004525 1.186363 0.272811 1.328888 1.060602 -0.431224 -0.699510 -2.246964 -0.486852 -1.333413 0.426699 2.246964 4.676134
8.000000 0.000000 93.000000 0.710000 6845.992000 8.000000 0.000000 -0.193561 0.833247 -0.517913 -0.696245 -0.487677 -0.528058 -0.691542 0.257353 0.673228 -0.145003 -0.861602 1.006605 -0.237425 0.190936 -0.948202 0.000000 0.000000 0.000000 0.002368 1.000000 0.471185 0.152481 0.863886 1.000000 1.000000 0.636209 0.266140 0.002368 1.000000 0.471185 0.771870 0.727079 1.000000 0.165601 0.015782 1.000000 -0.145134 -0.861579 1.006713 -0.237422 0.190567 -0.948026 -0.371144 0.651033 -0.279889 -0.413602 -0.803164 -0.862415 -0.147601 -0.876226 1.023827 -0.377548 0.303039 -1.507550 -0.624876 1.064559 -0.439683 -0.777047 -1.090852 -0.879587 0.575309 0.327878 0.267042 0.019611 0.939555 1.247822 -0.291355 0.016912 -1.514863 -0.283954 -1.267433 -0.036523 1.514863 3.205919
9.000000 0.000000 86.000000 1.050000 6202.682000 9.000000 0.000000 -0.193202 0.833233 -0.518069 -0.695908 -0.488390 -0.526913 -0.690527 0.258084 0.671769 -0.810624 -1.035280 1.845904 -0.268169 -0.217141 -0.242610 0.000000 0.000000 0.000000 0.001958 1.000000 0.470575 0.151031 0.876371 1.000000 1.000000 0.636210 0.266272 0.001958 1.000000 0.470575 0.767210 0.722050 1.000000 0.166111 0.013678 1.000000 -0.810271 -1.035420 1.845691 -0.268259 -0.217325 -0.242497 -0.027172 0.396647 -0.369475 0.603928 -0.895627 -1.196426 -0.824046 -1.053022 1.877068 -0.426586 -0.345590 -0.385618 -0.246139 0.554296 -0.308157 0.632667 -1.047625 -1.173275 0.126545 0.408719 -0.221760 0.060413 1.086000 1.434306 0.771144 1.119450 -1.212545 -0.897689 -1.494719 -1.179863 1.494719 3.052419
10.000000 0.000000 76.000000 1.730000 8123.650000 10.000000 0.000000 0.370752 0.053640 -0.927181 -0.376177 0.917778 -0.099729 0.848009 0.384552 0.362073 -1.359755 1.768822 -0.409067 1.094243 0.337398 -1.120279 0.000000 0.000000 0.000000 0.731515 0.011713 1.000000 0.097501 0.041050 1.000000 0.082192 1.000000 0.054060 0.731515 0.011713 1.000000 1.000000 0.883659 0.167241 1.000000 0.662131 0.298949 -1.359302 1.768701 -0.409399 1.094135 0.337606 -1.120278 -0.404910 1.538390 -1.133481 -1.711764 -0.066925 -0.543725 -1.382410 1.798769 -0.416359 1.739894 0.536860 -1.781466 -0.509840 2.334560 -1.824720 -1.961265 -0.570361 -0.676268 -1.789848 -2.228192 -0.369230 -0.807575 1.831978 0.411360 0.377417 -1.043201 -0.042130 1.412431 0.396214 1.850775 2.228192 5.239007
11.000000 0.000000 85.000000 1.990000 9079.476000 11.000000 0.000000 -0.374548 0.921660 -0.101272 -0.847936 -0.385553 -0.364966 -0.373872 -0.053158 0.923921 -0.487340 -0.914908 1.402249 -0.158504 1.272933 0.398527 0.000000 0.000000 0.000000 0.723627 0.000437 1.000000 0.092603 0.043029 1.000000 0.083310 1.000000 0.062597 0.723627 0.000437 1.000000 1.000000 0.878909 0.164250 1.000000 0.668587 0.305650 -0.485522 -0.912414 1.397937 -0.158029 1.268610 0.396868 -0.017632 0.698569 -0.680937 1.101664 -0.246066 -1.246144 -0.493776 -0.927925 1.421701 -0.251298 2.017344 0.631100 0.274523 1.126280 -1.400802 1.311258 -0.084065 -1.647616 1.103410 -0.543744 0.898226 -0.748928 0.421753 0.626937 0.937044 1.142228 -1.525163 -2.040454 0.121991 -0.393300 2.040454 4.275802
12.000000 0.000000 89.000000 2.080000 8561.229000 12.000000 0.000000 -0.374573 0.921615 -0.101596 -0.846568 -0.384465 -0.366248 -0.373560 -0.052494 0.921855 -1.553564 -0.866668 2.420231 0.607808 1.067147 0.010479 0.000000 0.000000 0.000000 0.722621 0.006453 1.000000 0.091948 0.042325 1.000000 0.084134 1.000000 0.062762 0.722621 0.006453 1.000000 1.000000 0.879491 0.166008 1.000000 0.668288 0.306609 -1.549148 -0.863671 2.412820 0.605938 1.063669 0.010224 0.191833 0.255780 -0.447613 1.510743 -1.482975 -1.161701 -1.575484 -0.878354 2.453837 0.963563 1.691446 0.016258 0.591313 0.486147 -1.077460 1.460094 -1.736366 -1.551418 0.012555 -1.368505 0.799301 -0.581759 2.031699 1.244953 2.044974 1.258228 -2.044254 -2.057529 -0.663194 -0.676469 2.057529 5.028080
13.000000 0.000000 93.000000 3.180000 11158.639000 13.000000 0.000000 -0.374000 0.921655 -0.103327 -0.843471 -0.382228 -0.367006 -0.372339 -0.050771 0.916752 -4.416644 -0.497497 4.914140 1.533865 1.155181 -0.551726 0.000000 0.000000 0.000000 0.722679 0.019261 1.000000 0.087852 0.044004 1.000000 0.085623 1.000000 0.062931 0.722679 0.019261 1.000000 1.000000 0.886230 0.164195 1.000000 0.665477 0.308731 -4.402653 -0.495792 4.898444 1.529020 1.151384 -0.549542 0.669305 -0.144000 -0.525304 3.209367 -3.773207 -0.931715 -4.477498 -0.504220 4.981718 2.431448 1.830930 -0.873882 1.224968 0.022518 -1.247485 2.867266 -4.577339 -1.373282 -1.867244 -3.362192 0.118025 -1.376923 5.211104 3.225835 4.497582 2.512313 -3.343860 -2.630338 -1.848912 -1.135390 5.211104 9.887535
14.000000 0.000000 82.000000 5.060000 11352.339000 14.000000 0.000000 -0.372987 0.921789 -0.105767 -0.839248 -0.378353 -0.369890 -0.369834 -0.048094 0.911447 -7.823789 0.170601 7.653188 4.460598 1.428283 -1.714833 0.000000 0.000000 0.000000 0.722961 0.041292 1.000000 0.084739 0.045817 1.000000 0.086549 1.000000 0.061229 0.722961 0.041292 1.000000 1.000000 0.892586 0.163045 1.000000 0.659636 0.310230 -7.799106 0.170340 7.628767 4.446347 1.423458 -1.709201 2.279669 -1.229924 -1.049745 4.267880 -7.826822 -0.929757 -7.931691 0.173235 7.758456 7.070581 2.263583 -2.717972 3.553900 -1.502239 -2.051661 3.054819 -10.119248 -1.671158 -5.271271 -7.119479 0.501834 -1.346374 10.401636 4.628530 8.182421 2.409316 -5.130364 -2.911149 -3.282157 -1.062942 10.401636 19.292899
15.000000 0.000000 113.000000 0.850000 22470.867000 15.000000 0.000000 -0.599581 0.591092 -0.539549 -0.144005 -0.742157 -0.653525 -0.787085 -0.315591 0.529128 -0.383501 0.304831 0.078670 -0.883765 0.057077 -0.134565 0.000000 0.000000 0.000000 0.290896 1.000000 0.382314 1.000000 0.009685 0.196369 0.223279 1.000000 0.051306 0.290896 1.000000 0.382314 0.278158 0.718484 1.000000 0.126086 0.013232 1.000000 -0.383201 0.304458 0.078743 -0.883356 0.056583 -0.134462 -0.250876 0.495988 -0.245112 0.472488 -0.161882 -0.700362 -0.389716 0.309634 0.080082 -1.404713 0.089978 -0.213822 -0.351508 0.619909 -0.268400 0.725874 -0.131942 -1.148858 0.324697 0.251230 -0.822247 -0.895714 -0.294385 0.852558 -0.468970 0.677973 -0.030312 0.144273 0.043155 0.217740 0.895714 2.542116
16.000000 0.000000 111.000000 0.660000 23321.901000 16.000000 0.000000 -0.599557 0.590961 -0.539719 -0.787072 -0.315299 0.529112 0.144161 0.742736 0.653036 -0.376111 0.199300 0.176810 1.062259 -0.019888 0.003155 0.000000 0.000000 0.000000 0.291121 1.000000 0.382445 1.000000 0.007918 0.197412 0.223267 1.000000 0.050664 0.291121 1.000000 0.382445 0.279297 0.719712 1.000000 0.125193 0.013277 1.000000 -0.376020 0.199123 0.176898 1.061693 -0.019683 0.003304 -0.242678 0.378489 -0.135811 0.704534 -0.196181 -0.767207 -0.382413 0.202508 0.179905 1.688304 -0.031299 0.005255 -0.381267 0.503889 -0.122622 1.092984 -0.155119 -1.239095 -0.940818 -0.915262 0.437677 0.463232 0.916667 -0.461827 0.920958 -0.457537 0.024151 0.019860 -0.001405 -0.005696 0.940818 2.980529
17.000000 0.000000 115.000000 0.720000 22980.508000 17.000000 0.000000 -0.599276 0.591327 -0.539630 -0.787125 -0.314950 0.529055 0.144186 0.742527 0.653287 -0.404666 0.268835 0.135830 0.865260 -0.068057 0.013555 0.000000 0.000000 0.000000 0.292346 1.000000 0.384026 1.000000 0.008531 0.197214 0.223796 1.000000 0.051035 0.292346 1.000000 0.384026 0.278477 0.720494 1.000000 0.125370 0.013567 1.000000 -0.404438 0.268433 0.136005 0.864780 -0.067945 0.013534 -0.147950 0.289409 -0.141458 0.628816 -0.248079 -0.599937 -0.411314 0.272997 0.138317 1.375173 -0.108046 0.021522 -0.249025 0.384971 -0.135947 0.969249 -0.210832 -0.967685 -0.884890 -0.796671 0.237934 0.326153 0.777011 -0.345813 0.794584 -0.328240 0.107879 0.090306 0.019659 0.002087 0.884890 2.470622
18.000000 0.000000 115.000000 0.570000 36594.068000 18.000000 0.000000 -0.599022 0.591529 -0.539691 -0.787570 -0.315044 0.529238 0.143793 0.741320 0.654195 -0.364474 -0.171081 0.535555 0.285762 0.343875 0.105563 0.000000 0.000000 0.000000 0.292879 1.000000 0.384670 1.000000 0.011935 0.195046 0.224785 1.000000 0.051375 0.292879 1.000000 0.384670 0.276932 0.719793 1.000000 0.126625 0.014529 1.000000 -0.364576 -0.170514 0.535090 0.285878 0.343701 0.105683 -0.249895 0.649033 -0.399138 -0.064024 -0.087058 -0.319377 -0.370774 -0.173412 0.544186 0.454603 0.546553 0.168057 -0.268099 0.735275 -0.467176 -0.121114 -0.086995 -0.572585 -0.043034 -0.489293 0.328148 -0.118111 0.490513 0.119331 0.627731 0.256549 -0.447479 -0.584697 -0.001220 -0.138438 0.627731 1.515391
19.000000 0.000000 116.000000 0.780000 41236.915000 19.000000 0.000000 -0.599034 0.591502 -0.539707 -0.787979 -0.315033 0.529578 0.144164 0.741456 0.654037 -0.181254 -0.486167 0.667421 0.409260 0.388249 0.067237 0.000000 0.000000 0.000000 0.292373 1.000000 0.385107 1.000000 0.011433 0.195784 0.225239 1.000000 0.051112 0.292373 1.000000 0.385107 0.277288 0.722219 1.000000 0.126468 0.014504 1.000000 -0.181275 -0.485890 0.667164 0.409423 0.388102 0.066972 -0.449527 0.810418 -0.360891 -0.055323 0.144250 -0.401681 -0.184356 -0.494150 0.678506 0.651064 0.617159 0.106499 -0.512740 0.918465 -0.405725 -0.089133 0.144055 -0.721900 0.112631 -0.391277 0.644223 0.140314 0.574580 0.042988 0.661536 0.129944 -0.687211 -0.774167 -0.183303 -0.270258 0.774167 1.885775
20.000000 0.000000 115.000000 0.560000 44617.785000 20.000000 0.000000 -0.598866 0.591590 -0.539798 -0.787914 -0.314599 0.529203 0.144333 0.741354 0.653687 -0.404257 -0.321814 0.726072 0.510166 0.359818 -0.039045 0.000000 0.000000 0.000000 0.293775 1.000000 0.385830 1.000000 0.010766 0.196386 0.225418 1.000000 0.051058 0.293775 1.000000 0.385830 0.277674 0.723562 1.000000 0.126308 0.014435 1.000000 -0.404125 -0.321717 0.725842 0.510241 0.359496 -0.038921 -0.544470 0.878751 -0.334281 0.059290 -0.057071 -0.436991 -0.410995 -0.327187 0.738182 0.811386 0.571670 -0.061893 -0.677014 0.994767 -0.317753 0.075871 -0.070410 -0.783755 -0.132078 -0.598845 0.530416 0.063649 0.825664 0.163170 0.775129 0.112635 -0.693586 -0.643050 -0.226819 -0.176284 0.825664 2.048968
